PAGE = 1111
Base Addr	Data written	Data read	Match?
00000000 	 0000 	 	 0000 		 1
00000001 	 0000 	 	 0000 		 1
00000002 	 ffff 	 	 ffff 		 1
00000003 	 ffff 	 	 ffff 		 1
00000004 	 0001 	 	 0001 		 1
00000005 	 0000 	 	 0000 		 1
00000006 	 ffff 	 	 ffff 		 1
00000007 	 ffff 	 	 ffff 		 1
00000008 	 0002 	 	 0002 		 1
00000009 	 0000 	 	 0000 		 1
0000000a 	 ffff 	 	 ffff 		 1
0000000b 	 ffff 	 	 ffff 		 1
0000000c 	 0003 	 	 0003 		 1
0000000d 	 0000 	 	 0000 		 1
0000000e 	 ffff 	 	 ffff 		 1
0000000f 	 ffff 	 	 ffff 		 1
00000010 	 0004 	 	 0004 		 1
00000011 	 0000 	 	 0000 		 1
00000012 	 ffff 	 	 ffff 		 1
00000013 	 ffff 	 	 ffff 		 1
00000014 	 0005 	 	 0005 		 1
00000015 	 0000 	 	 0000 		 1
00000016 	 ffff 	 	 ffff 		 1
00000017 	 ffff 	 	 ffff 		 1
00000018 	 0006 	 	 0006 		 1
00000019 	 0000 	 	 0000 		 1
0000001a 	 ffff 	 	 ffff 		 1
0000001b 	 ffff 	 	 ffff 		 1
0000001c 	 0007 	 	 0007 		 1
0000001d 	 0000 	 	 0000 		 1
0000001e 	 ffff 	 	 ffff 		 1
0000001f 	 ffff 	 	 ffff 		 1
00000020 	 0008 	 	 0008 		 1
00000021 	 0000 	 	 0000 		 1
00000022 	 ffff 	 	 ffff 		 1
00000023 	 ffff 	 	 ffff 		 1
00000024 	 0009 	 	 0009 		 1
00000025 	 0000 	 	 0000 		 1
00000026 	 ffff 	 	 ffff 		 1
00000027 	 ffff 	 	 ffff 		 1
00000028 	 000a 	 	 000a 		 1
00000029 	 0000 	 	 0000 		 1
0000002a 	 ffff 	 	 ffff 		 1
0000002b 	 ffff 	 	 ffff 		 1
0000002c 	 000b 	 	 000b 		 1
0000002d 	 0000 	 	 0000 		 1
0000002e 	 ffff 	 	 ffff 		 1
0000002f 	 ffff 	 	 ffff 		 1
00000030 	 000c 	 	 000c 		 1
00000031 	 0000 	 	 0000 		 1
